iso3,iso2,country_name,region,subregion,income_group,is_country,is_active,notes
NGA,NG,Nigeria,Africa,Western Africa,Lower middle income,,,
NIC,,Nicaragua,Americas,Central America,Lower middle income,,,
NIU,,Niue,Oceania,Polynesia,Unclassified,,,
NLD,NL,Netherlands,Europe,Western Europe,High income,,,
NOR,,Norway,Europe,Northern Europe,High income,,,
NPL,,Nepal,Asia,Southern Asia,Lower middle income,,,
NRU,,Nauru,Oceania,Micronesia,High income,,,
NZL,,New Zealand,Oceania,Australia and New Zealand,High income,,,
OMN,,Oman,Asia,Western Asia,High income,,,
PAK,,Pakistan,Asia,Southern Asia,Lower middle income,,,
PAN,,Panama,Americas,Central America,High income,,,
PER,,Peru,Americas,South America,Upper middle income,,,
PHL,,Philippines,Asia,South-eastern Asia,Lower middle income,,,
PNG,,Papua New Guinea,Oceania,Melanesia,Lower middle income,,,
POL,,Poland,Europe,Eastern Europe,High income,,,
PRI,,Puerto Rico,Americas,Caribbean,High income,,,
PRK,,North Korea,Asia,Eastern Asia,Low income,,,
PRT,,Portugal,Europe,Southern Europe,High income,,,
PRY,,Paraguay,Americas,South America,Upper middle income,,,
PSE,,Palestine,Asia,Western Asia,Lower middle income,,,
PYF,,French Polynesia,Oceania,Polynesia,High income,,,
QAT,,Qatar,Asia,Western Asia,High income,,,
REU,,Reunion,Africa,Eastern Africa,Unclassified,,,
ROU,,Romania,Europe,Eastern Europe,High income,,,
RUS,RU,Russia,Europe,Eastern Europe,Upper middle income,,,
RWA,,Rwanda,Africa,Eastern Africa,Low income,,,
SAU,SA,Saudi Arabia,Asia,Western Asia,High income,,,
SDN,,Sudan,To be classified,,Low income,,,
SEN,,Senegal,Africa,Western Africa,Lower middle income,,,
SGP,,Singapore,Asia,South-eastern Asia,High income,,,
SHN,,Saint Helena,Africa,Western Africa,Unclassified,,,
SLB,,Solomon Islands,Oceania,Melanesia,Lower middle income,,,
SLE,,Sierra Leone,Africa,Western Africa,Low income,,,
SLV,,El Salvador,Americas,Central America,Upper middle income,,,
SOM,,Somalia,Africa,Eastern Africa,Low income,,,
SPM,,Saint Pierre and Miquelon,Americas,Northern America,Unclassified,,,
SRB,,Serbia,Europe,Southern Europe,Upper middle income,,,
SSD,,South Sudan,Africa,Eastern Africa,Low income,,,
STP,,Sao Tome and Principe,Africa,Middle Africa,Lower middle income,,,
SUR,,Suriname,Americas,South America,Upper middle income,,,
SVK,,Slovakia,Europe,Eastern Europe,High income,,,
SVN,,Slovenia,Europe,Southern Europe,High income,,,
SWE,SE,Sweden,Europe,Northern Europe,High income,,,
SWZ,,Eswatini,Africa,Southern Africa,Lower middle income,,,
SYC,,Seychelles,Africa,Eastern Africa,High income,,,
SYR,,Syria,Asia,Western Asia,Low income,,,
TCA,,Turks and Caicos Islands,Americas,Caribbean,High income,,,
TCD,,Chad,Africa,Middle Africa,Low income,,,
TGO,,Togo,Africa,Western Africa,Low income,,,
THA,,Thailand,Asia,South-eastern Asia,Upper middle income,,,
TJK,,Tajikistan,Asia,Central Asia,Lower middle income,,,
TKM,,Turkmenistan,Asia,Central Asia,Upper middle income,,,
TLS,,East Timor,Asia,South-eastern Asia,Lower middle income,,,
TON,,Tonga,Oceania,Polynesia,Upper middle income,,,
TTO,,Trinidad and Tobago,Americas,Caribbean,High income,,,
TUN,,Tunisia,Africa,Northern Africa,Lower middle income,,,
TUR,TR,Turkey,Asia,Western Asia,Upper middle income,,,
TUV,,Tuvalu,Oceania,Polynesia,Upper middle income,,,
TWN,,Taiwan,Asia,Eastern Asia,High income,,,
TZA,,Tanzania,Africa,Eastern Africa,Lower middle income,,,
UGA,,Uganda,Africa,Eastern Africa,Low income,,,
UKR,,Ukraine,Europe,Eastern Europe,Upper middle income,,,
URY,,Uruguay,Americas,South America,High income,,,
USA,US,United States,North America,Northern America,High income,,,
UZB,,Uzbekistan,Asia,Central Asia,Lower middle income,,,
VCT,,Saint Vincent and the Grenadines,Americas,Caribbean,Upper middle income,,,
VEN,,Venezuela,Americas,South America,Unclassified,,,
VGB,,British Virgin Islands,Americas,Caribbean,High income,,,
VIR,,United States Virgin Islands,Americas,Caribbean,High income,,,
VNM,,Vietnam,Asia,South-eastern Asia,Lower middle income,,,
VUT,,Vanuatu,Oceania,Melanesia,Lower middle income,,,
WSM,,Samoa,Oceania,Polynesia,Upper middle income,,,
YEM,,Yemen,Asia,Western Asia,Low income,,,
ZAF,ZA,South Africa,Africa,Southern Africa,Upper middle income,,,
ZMB,,Zambia,Africa,Eastern Africa,Lower middle income,,,
ZWE,,Zimbabwe,Africa,Eastern Africa,Lower middle income,,,
WLD,WD,World,Global,World,middle,,,
